报告年份,原始文件,年度文件内行号,段内对齐序号,全局对齐序号,中文,英文,中文句数,英文句数,对齐类型,对齐成本,中文字符数,英文词数,英中长度比例,是否需要人工复核,问题类型,清洗说明,原始中文,原始英文,中文清洗动作,英文清洗动作
2026,03_report_2026.csv,1,1,1,各位代表：,"Fellow Deputies,",1,1,1-1,0.0,5,2,0.4,False,,无需自动清洗 | 无需自动清洗,各位代表：,"Fellow Deputies,",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,2,1,2,现在，我代表国务院，向大会作政府工作报告，请予审议，并请全国政协委员提出意见。,"On behalf of the State Council, I will now report to you on the work of the government for your deliberation and also for comments from members of the National Committee of the Chinese People's Political Consultative Conference (CPPCC).",1,1,1-1,0.0,39,39,1.0,False,,无需自动清洗 | 无需自动清洗,现在，我代表国务院，向大会作政府工作报告，请予审议，并请全国政协委员提出意见。,"On behalf of the State Council, I will now report to you on the work of the government for your deliberation and also for comments from members of the National Committee of the Chinese People's Political Consultative Conference (CPPCC).",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,3,1,3,一、2025年工作回顾,I. A Review of Our Work in 2025,1,2,1-2,0.15,11,7,0.6364,False,,无需自动清洗 | 无需自动清洗,一、2025年工作回顾,I. A Review of Our Work in 2025,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,4,1,4,2025年是很不平凡的一年。,The year 2025 stood out as truly remarkable.,1,1,1-1,0.4547,14,7,0.5,False,,无需自动清洗 | 无需自动清洗,2025年是很不平凡的一年。,The year 2025 stood out as truly remarkable.,无需自动清洗,无需自动清洗
2026,03_report_2026.csv,4,2,5,党的二十届四中全会胜利召开，擘画了未来五年我国发展的宏伟蓝图。,"At its fourth plenary session, the 20th Central Committee of the Communist Party of China (CPC) set out an inspiring blueprint for China's development over the next five years. We commemorated the 80th anniversary of victory in the Chinese People's War of Resistance against Japanese Aggression and the World Anti-Fascist War and established the Taiwan Recovery Day.",1,2,1-2,0.9975,31,57,1.8387,False,,无需自动清洗 | 无需自动清洗,党的二十届四中全会胜利召开，擘画了未来五年我国发展的宏伟蓝图。,"At its fourth plenary session, the 20th Central Committee of the Communist Party of China (CPC) set out an inspiring blueprint for China's development over the next five years. We commemorated the 80th anniversary of victory in the Chinese People's War of Resistance against Japanese Aggression and the World Anti-Fascist War and established the Taiwan Recovery Day.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,4,3,6,我们隆重纪念中国人民抗日战争暨世界反法西斯战争胜利80周年，设立台湾光复纪念日，极大振奋民族精神、激发爱国热情、凝聚奋斗力量。,"These events have greatly lifted our national spirit, fostered patriotism among our people, and further galvanized strength for pursuing our goals. Amidst profound and complex developments both at home and abroad, the Party Central Committee with Comrade Xi Jinping at its core rallied the Chinese people of all ethnic groups and led us in meeting challenges head-on and working hard with determination.",1,2,1-2,0.3724,63,62,0.9841,False,,无需自动清洗 | 无需自动清洗,我们隆重纪念中国人民抗日战争暨世界反法西斯战争胜利80周年，设立台湾光复纪念日，极大振奋民族精神、激发爱国热情、凝聚奋斗力量。,"These events have greatly lifted our national spirit, fostered patriotism among our people, and further galvanized strength for pursuing our goals. Amidst profound and complex developments both at home and abroad, the Party Central Committee with Comrade Xi Jinping at its core rallied the Chinese people of all ethnic groups and led us in meeting challenges head-on and working hard with determination.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,4,4,7,面对国内外形势深刻复杂的变化，以习近平同志为核心的党中央团结带领全国各族人民迎难而上、奋力拼搏，坚定不移贯彻新发展理念、推动高质量发展，统筹国内国际两个大局，全年经济社会发展主要目标任务顺利完成，“十四五”圆满收官，中国式现代化迈出新的坚实步伐。,"Keeping in mind both domestic and international imperatives, we steadfastly applied the new development philosophy and pursued high-quality development. Thanks to these efforts, the main objectives and tasks for economic and social development in 2025 were accomplished, the 14th Five-Year Plan was brought to a successful conclusion, and solid new strides were made in advancing Chinese modernization.",1,2,1-2,0.6984,123,56,0.4553,False,,无需自动清洗 | 无需自动清洗,面对国内外形势深刻复杂的变化，以习近平同志为核心的党中央团结带领全国各族人民迎难而上、奋力拼搏，坚定不移贯彻新发展理念、推动高质量发展，统筹国内国际两个大局，全年经济社会发展主要目标任务顺利完成，“十四五”圆满收官，中国式现代化迈出新的坚实步伐。,"Keeping in mind both domestic and international imperatives, we steadfastly applied the new development philosophy and pursued high-quality development. Thanks to these efforts, the main objectives and tasks for economic and social development in 2025 were accomplished, the 14th Five-Year Plan was brought to a successful conclusion, and solid new strides were made in advancing Chinese modernization.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,5,1,8,一年来，我国经济顶压前行、展现强大韧性。,"Over the past year, the Chinese economy has proved remarkably resilient, forging ahead against headwinds. The economy remained generally stable, and steady growth was registered.",1,2,1-2,0.8365,20,25,1.25,False,,无需自动清洗 | 无需自动清洗,一年来，我国经济顶压前行、展现强大韧性。,"Over the past year, the Chinese economy has proved remarkably resilient, forging ahead against headwinds. The economy remained generally stable, and steady growth was registered.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,5,2,9,经济运行总体平稳、稳中有进，国内生产总值增长5%，总量达到140.19万亿元。,"Gross domestic product (GDP) grew by 5 percent, reaching 140.19 trillion yuan. Overall employment remained stable, with 12.67 million urban jobs created, and the average surveyed urban unemployment rate stood at 5.2 percent.",1,2,1-2,0.3171,39,29,0.7436,False,,无需自动清洗 | 无需自动清洗,经济运行总体平稳、稳中有进，国内生产总值增长5%，总量达到140.19万亿元。,"Gross domestic product (GDP) grew by 5 percent, reaching 140.19 trillion yuan. Overall employment remained stable, with 12.67 million urban jobs created, and the average surveyed urban unemployment rate stood at 5.2 percent.",无需自动清洗,无需自动清洗
2026,03_report_2026.csv,5,3,10,就业总体稳定，城镇新增就业1267万人，城镇调查失业率平均为5.2%。,"Foreign trade registered rapid growth, significant advances were made in export diversification, and a basic equilibrium was maintained in the balance of payments.",1,1,1-1,0.0435,35,23,0.6571,False,,无需自动清洗 | 无需自动清洗,就业总体稳定，城镇新增就业1267万人，城镇调查失业率平均为5.2%。,"Foreign trade registered rapid growth, significant advances were made in export diversification, and a basic equilibrium was maintained in the balance of payments.",无需自动清洗,无需自动清洗
